LandisData "ForC Succession"

ClimateTable  << only MAT for each ecoregion
>>Time	Eco	AvgT	
>>Step		(C)	
>>-------------------------
0	eco1LOSA	2.35
0	eco1SALO	2.35
0	eco2SALO	1.25
0	eco3LOSA	1.01
0	eco3SALO	1.01
0	eco4LOSA	0.03
0	eco4SALO	0.03
0	eco5LOSA	-1.23
0	eco5SALO	-1.23
0	eco6LOSA	-0.76
0	eco6SALO	-0.76
0	eco7LOSA	-1.99
0	eco7SALO	-1.99
0	eco8LOSA	-2.25
0	eco8SALO	-2.25
0	eco9LOSA	-2.55
0	eco9SALO	-2.55
0	eco10LOSA	-2.11
0	eco10SALO	-2.11
1	eco1LOSA	5.08
1	eco1SALO	5.08
1	eco2SALO	4.00
1	eco3LOSA	3.67
1	eco3SALO	3.67
1	eco4LOSA	2.79
1	eco4SALO	2.79
1	eco5LOSA	1.62
1	eco5SALO	1.62
1	eco6LOSA	2.21
1	eco6SALO	2.21
1	eco7LOSA	0.97
1	eco7SALO	0.97
1	eco8LOSA	0.75
1	eco8SALO	0.75
1	eco9LOSA	0.43
1	eco9SALO	0.43
1	eco10LOSA	0.79
1	eco10SALO	0.79
40	eco1LOSA	7.09
40	eco1SALO	7.09
40	eco2SALO	6.03
40	eco3LOSA	5.73
40	eco3SALO	5.73
40	eco4LOSA	4.86
40	eco4SALO	4.86
40	eco5LOSA	3.72
40	eco5SALO	3.72
40	eco6LOSA	4.29
40	eco6SALO	4.29
40	eco7LOSA	3.10
40	eco7SALO	3.10
40	eco8LOSA	2.86
40	eco8SALO	2.86
40	eco9LOSA	2.58
40	eco9SALO	2.58
40	eco10LOSA	2.90
40	eco10SALO	2.90
70	eco1LOSA	8.31
70	eco1SALO	8.31
70	eco2SALO	7.26
70	eco3LOSA	6.99
70	eco3SALO	6.99
70	eco4LOSA	6.12
70	eco4SALO	6.12
70	eco5LOSA	5.00
70	eco5SALO	5.00
70	eco6LOSA	5.58
70	eco6SALO	5.58
70	eco7LOSA	4.41
70	eco7SALO	4.41
70	eco8LOSA	4.17
70	eco8SALO	4.17
70	eco9LOSA	3.90
70	eco9SALO	3.90
70	eco10LOSA	4.18
70	eco10SALO	4.18
